"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_15",0.0087156,"Rocky Mountain Aspen Forest and Woodland",52,0.450980392,250,0,2.1789
"2","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",15,0.4,12555,0.6,101.203344
"3","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",25,0.4,2137,0.1,16.7805788
"4","All Fire","10190_15",0.0063906,"Great Basin Pinyon-Juniper Woodland",53,0,40,0,0.255624
"5","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",6,0.517647059,61191,2.8,2641.4441352
"6","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",35,0.517647059,19,0,0.8201768
"7","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",3,0.117647059,141351,6.5,5990.5119204
"8","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",36,0.117647059,88,0,3.7294752
"9","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",10,0.121568627,31453,1.4,679.2778598
"10","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",37,0.121568627,66,0,1.4253756
"11","All Fire","10260_15",0.0977646,"Madrean Upper Montane Conifer-Oak Forest and Woodland",54,0.223529412,50,0,4.88823
"12","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",12,1,21726,1,2031.2462988
"13","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",38,1,26,0,2.4308388
"14","All Fire","10520_15",0.029845,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",16,0.901960784,10168,0.5,303.46396
"15","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",39,0.901960784,0,0,0
"16","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",1,0,1277151,58.4,138451.0867362
"17","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",9,0,30279,1.4,1777.3651884
"18","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",28,0.745098039,1924,0.1,14.0390432
"19","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",55,0,6,0,0.0437208
"20","All Fire","10610_15_25",0.0810248,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",13,0,19740,0.9,1599.429552
"21","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",40,0.843137255,300,0,3.8211
"22","All Fire","10770_15",0.002871,"Chihuahuan Succulent Desert Scrub",56,0.411764706,3,0,0.008613
"23","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",41,0.811764706,5,0,0.065735
"24","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",18,0.909803922,7698,0.4,64.9849764
"25","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",30,0.909803922,1151,0.1,9.7165118
"26","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",26,0.478431373,1560,0.1,2.48976
"27","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",57,0.478431373,127,0,0.202692
"28","All Fire","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",33,0.28627451,361,0,0.4489396
"29","All Fire","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",58,0.28627451,103,0,0.1280908
"30","All Fire","10910_15",0.0028784,"Sonoran Mid-Elevation Desert Scrub",59,0.388235294,54,0,0.1554336
"31","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",42,0.094117647,18,0,0.0831348
"32","All Fire","11000_15",0.0031294,"Chihuahuan Mixed Desert and Thorn Scrub",60,0.478431373,1,0,0.0031294
"33","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",43,0,4,0,0.0619232
"34","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",61,0,875,0,13.5457
"35","All Fire","11040_15",0.013108,"Mogollon Chaparral",11,0.82745098,27473,1.3,360.116084
"36","All Fire","11040_23_24",0.0237914,"Mogollon Chaparral",27,0.82745098,2187,0.1,52.0317918
"37","All Fire","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",8,0.874509804,36228,1.7,944.6306088
"38","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",44,0.874509804,378,0,9.821952
"39","All Fire","11090_15_25",0.00095,"Sonoran Paloverde-Mixed Cacti Desert Scrub",22,0.960784314,7055,0.3,6.70225
"40","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",45,0.266666667,258,0,3.9774828
"41","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",62,0.266666667,105,0,1.618743
"42","All Fire","11160_15_25",0.0216964,"Madrean Juniper Savanna",63,0.560784314,939,0,20.3729196
"43","All Fire","11160_24",0.021955,"Madrean Juniper Savanna",46,0.560784314,4,0,0.08782
"44","All Fire","11170_13_15_28",0.0922292,"Southern Rocky Mountain Ponderosa Pine Savanna",2,0,185004,8.5,17062.7709168
"45","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",23,0,3803,0.2,473.4073278
"46","All Fire","11210_15",0.1262176,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",17,0.847058824,7989,0.4,1008.3524064
"47","All Fire","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",47,0.847058824,87,0,10.7773512
"48","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",31,0.874509804,180,0,1.550376
"49","All Fire","11270_15",0.0084802,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",5,0.843137255,72451,3.3,614.3989702
"50","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",21,0.843137255,7269,0.3,68.5786536
"51","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",14,0.82745098,16463,0.8,659.2575424
"52","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",24,0.82745098,3901,0.2,155.6553614
"53","All Fire","11450_22_24_28",0.0308498,"Rocky Mountain Subalpine-Montane Mesic Meadow",48,1,43,0,1.3265414
"54","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",7,0.698039216,50568,2.3,5058.2563584
"55","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",49,0.882352941,8,0,0.0381136
"56","All Fire","11550_15",0.013255,"North American Warm Desert Riparian Systems",64,0.458823529,40,0,0.5302
"57","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",29,0.458823529,1642,0.1,2.252824
"58","All Fire","11590_15",0.151441,"Rocky Mountain Montane Riparian Systems",4,0.364705882,126933,5.8,19222.860453
"59","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",50,0.364705882,589,0,9.8187478
"60","All Fire","11600_15_28",0.0163066,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",65,0.654901961,584,0,9.5230544
"61","All Transitions","10110_15",0.0266674,"Rocky Mountain Aspen Forest and Woodland",52,0.450980392,250,0,6.66685
"62","All Transitions","10160_15_28",0.0266456,"Colorado Plateau Pinyon-Juniper Woodland",15,0.4,12555,0.6,334.535508
"63","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",25,0.4,2137,0.1,52.7338942
"64","All Transitions","10190_15",0.0092816,"Great Basin Pinyon-Juniper Woodland",53,0,40,0,0.371264
"65","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",6,0.517647059,61191,2.8,3319.8809904
"66","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",35,0.517647059,19,0,1.0308336
"67","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",3,0.117647059,141351,6.5,7528.778313
"68","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",36,0.117647059,88,0,4.687144
"69","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",10,0.121568627,31453,1.4,858.6228658
"70","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",37,0.121568627,66,0,1.8017076
"71","All Transitions","10260_15",0.1084506,"Madrean Upper Montane Conifer-Oak Forest and Woodland",54,0.223529412,50,0,5.42253
"72","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",12,1,21726,1,2266.6344732
"73","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",38,1,26,0,2.7125332
"74","All Transitions","10520_15",0.0565604,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",16,0.901960784,10168,0.5,575.1061472
"75","All Transitions","10520_16_23_24",0.0568552,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",39,0.901960784,0,0,0
"76","All Transitions","10540_15_25",0.1109472,"Southern Rocky Mountain Ponderosa Pine Woodland",1,0,1277151,58.4,141696.3274272
"77","All Transitions","10540_16_23_24",0.0693576,"Southern Rocky Mountain Ponderosa Pine Woodland",9,0,30279,1.4,2100.0787704
"78","All Transitions","10550_15_28",0.016136,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",28,0.745098039,1924,0.1,31.045664
"79","All Transitions","10560_15_28",0.0159924,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",55,0,6,0,0.0959544
"80","All Transitions","10610_15_25",0.0826078,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",13,0,19740,0.9,1630.677972
"81","All Transitions","10640_15_16_17_23_24_27_28",0.0654792,"Colorado Plateau Mixed Low Sagebrush Shrubland",40,0.843137255,300,0,19.64376
"82","All Transitions","10770_15",0.0071574,"Chihuahuan Succulent Desert Scrub",56,0.411764706,3,0,0.0214722
"83","All Transitions","10780_16_23_24_25",0.0412126,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",41,0.811764706,5,0,0.206063
"84","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",18,0.909803922,7698,0.4,110.8481208
"85","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",30,0.909803922,1151,0.1,16.5739396
"86","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",26,0.478431373,1560,0.1,98.399808
"87","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",57,0.478431373,127,0,8.0107536
"88","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",33,0.28627451,361,0,0.4489396
"89","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",58,0.28627451,103,0,0.1280908
"90","All Transitions","10910_15",0.0116798,"Sonoran Mid-Elevation Desert Scrub",59,0.388235294,54,0,0.6307092
"91","All Transitions","10930_13_15_16_23_24_28",0.012289,"Southern Colorado Plateau Sand Shrubland",42,0.094117647,18,0,0.221202
"92","All Transitions","11000_15",0.0143264,"Chihuahuan Mixed Desert and Thorn Scrub",60,0.478431373,1,0,0.0143264
"93","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",43,0,4,0,0.0619232
"94","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",61,0,875,0,13.5457
"95","All Transitions","11040_15",0.013108,"Mogollon Chaparral",11,0.82745098,27473,1.3,360.116084
"96","All Transitions","11040_23_24",0.0416284,"Mogollon Chaparral",27,0.82745098,2187,0.1,91.0413108
"97","All Transitions","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",8,0.874509804,36228,1.7,944.6306088
"98","All Transitions","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",44,0.874509804,378,0,9.821952
"99","All Transitions","11090_15_25",0.0028654,"Sonoran Paloverde-Mixed Cacti Desert Scrub",22,0.960784314,7055,0.3,20.215397
"100","All Transitions","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",45,0.266666667,258,0,3.9774828
"101","All Transitions","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",62,0.266666667,105,0,1.618743
"102","All Transitions","11160_15_25",0.0274268,"Madrean Juniper Savanna",63,0.560784314,939,0,25.7537652
"103","All Transitions","11160_24",0.0269784,"Madrean Juniper Savanna",46,0.560784314,4,0,0.1079136
"104","All Transitions","11170_13_15_28",0.0951214,"Southern Rocky Mountain Ponderosa Pine Savanna",2,0,185004,8.5,17597.8394856
"105","All Transitions","11170_16_23_24",0.1266146,"Southern Rocky Mountain Ponderosa Pine Savanna",23,0,3803,0.2,481.5153238
"106","All Transitions","11210_15",0.1262176,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",17,0.847058824,7989,0.4,1008.3524064
"107","All Transitions","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",47,0.847058824,87,0,10.7773512
"108","All Transitions","11250_6_12_13_15_16_17_18_23_24_25_28",0.0315482,"Inter-Mountain Basins Big Sagebrush Steppe",31,0.874509804,180,0,5.678676
"109","All Transitions","11270_15",0.1252672,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",5,0.843137255,72451,3.3,9075.7339072
"110","All Transitions","11270_16_23_24_25",0.1241012,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",21,0.843137255,7269,0.3,902.0916228
"111","All Transitions","11350_15_28",0.0619654,"Inter-Mountain Basins Semi-Desert Grassland",14,0.82745098,16463,0.8,1020.1363802
"112","All Transitions","11350_16_23_24",0.0599554,"Inter-Mountain Basins Semi-Desert Grassland",24,0.82745098,3901,0.2,233.8860154
"113","All Transitions","11450_22_24_28",0.0308498,"Rocky Mountain Subalpine-Montane Mesic Meadow",48,1,43,0,1.3265414
"114","All Transitions","11460_15_16_23_24_25_28",0.1482314,"Southern Rocky Mountain Montane-Subalpine Grassland",7,0.698039216,50568,2.3,7495.7654352
"115","All Transitions","11530_16_23_24_25_27",0.0183694,"Inter-Mountain Basins Greasewood Flat",49,0.882352941,8,0,0.1469552
"116","All Transitions","11550_15",0.0821788,"North American Warm Desert Riparian Systems",64,0.458823529,40,0,3.287152
"117","All Transitions","11552_13_14_15",0.1210242,"North American Warm Desert Riparian Systems - Stringers",29,0.458823529,1642,0.1,198.7217364
"118","All Transitions","11590_15",0.3580462,"Rocky Mountain Montane Riparian Systems",4,0.364705882,126933,5.8,45447.8783046
"119","All Transitions","11590_16_23_24_26",0.4149928,"Rocky Mountain Montane Riparian Systems",50,0.364705882,589,0,244.4307592
"120","All Transitions","11600_15_28",0.4070216,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",65,0.654901961,584,0,237.7006144
"121","Alternative Succession","10160_15_28",0.0076906,"Colorado Plateau Pinyon-Juniper Woodland",15,0.4,12555,0.6,96.555483
"122","Alternative Succession","10160_16_23_24_25",0.007569,"Colorado Plateau Pinyon-Juniper Woodland",25,0.4,2137,0.1,16.174953
"123","Alternative Succession","10230_14_15_24_25",0.0062724,"Madrean Encinal",6,0.517647059,61191,2.8,383.8144284
"124","Alternative Succession","10230_14_15_24_25",0.0062724,"Madrean Encinal",35,0.517647059,19,0,0.1191756
"125","Alternative Succession","10240_14_15_24",0.0061624,"Madrean Lower Montane Pine-Oak Forest and Woodland",3,0.117647059,141351,6.5,871.0614024
"126","Alternative Succession","10240_14_15_24",0.0061624,"Madrean Lower Montane Pine-Oak Forest and Woodland",36,0.117647059,88,0,0.5422912
"127","Alternative Succession","10260_15",0.0001018,"Madrean Upper Montane Conifer-Oak Forest and Woodland",54,0.223529412,50,0,0.00509
"128","Alternative Succession","10510_15_16_17_22_23_24_25",0.0002354,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",12,1,21726,1,5.1143004
"129","Alternative Succession","10510_15_16_17_22_23_24_25",0.0002354,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",38,1,26,0,0.0061204
"130","Alternative Succession","10520_15",0.0111678,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",16,0.901960784,10168,0.5,113.5541904
"131","Alternative Succession","10520_16_23_24",0.0110482,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",39,0.901960784,0,0,0
"132","Alternative Succession","10540_15_25",0.0020834,"Southern Rocky Mountain Ponderosa Pine Woodland",1,0,1277151,58.4,2660.8163934
"133","Alternative Succession","10540_16_23_24",0.0077474,"Southern Rocky Mountain Ponderosa Pine Woodland",9,0,30279,1.4,234.5835246
"134","Alternative Succession","10550_15_28",0.0048118,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",28,0.745098039,1924,0.1,9.2579032
"135","Alternative Succession","10560_15_28",0.00478,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",55,0,6,0,0.02868
"136","Alternative Succession","10610_15_25",0.0012578,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",13,0,19740,0.9,24.828972
"137","Alternative Succession","10640_15_16_17_23_24_27_28",0.002557,"Colorado Plateau Mixed Low Sagebrush Shrubland",40,0.843137255,300,0,0.7671
"138","Alternative Succession","10780_16_23_24_25",0.014699,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",41,0.811764706,5,0,0.073495
"139","Alternative Succession","10810_15_16_23_24_28",0.0067586,"Inter-Mountain Basins Mixed Salt Desert Scrub",26,0.478431373,1560,0.1,10.543416
"140","Alternative Succession","10810_15_16_23_24_28",0.0067586,"Inter-Mountain Basins Mixed Salt Desert Scrub",57,0.478431373,127,0,0.8583422
"141","Alternative Succession","11040_23_24",0.0037492,"Mogollon Chaparral",27,0.82745098,2187,0.1,8.1995004
"142","Alternative Succession","11170_13_15_28",0.0028922,"Southern Rocky Mountain Ponderosa Pine Savanna",2,0,185004,8.5,535.0685688
"143","Alternative Succession","11170_16_23_24",0.0013274,"Southern Rocky Mountain Ponderosa Pine Savanna",23,0,3803,0.2,5.0481022
"144","Alternative Succession","11270_15",0.0021546,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",5,0.843137255,72451,3.3,156.1029246
"145","Alternative Succession","11270_16_23_24_25",0.0019652,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",21,0.843137255,7269,0.3,14.2850388
"146","Competition or Maintenance","10160_15_28",0.0034882,"Colorado Plateau Pinyon-Juniper Woodland",15,0.4,12555,0.6,43.794351
"147","Competition or Maintenance","10160_16_23_24_25",0.0037272,"Colorado Plateau Pinyon-Juniper Woodland",25,0.4,2137,0.1,7.9650264
"148","Competition or Maintenance","10260_15",0.0014262,"Madrean Upper Montane Conifer-Oak Forest and Woodland",54,0.223529412,50,0,0.07131
"149","Competition or Maintenance","10510_15_16_17_22_23_24_25",0.0019194,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",12,1,21726,1,41.7008844
"150","Competition or Maintenance","10510_15_16_17_22_23_24_25",0.0019194,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",38,1,26,0,0.0499044
